/********
FORMATO DE LA INFORMACIÓN
*********/

N
Corridas
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
Máximo
Mínimo
Promedio


/***************
CPU 1 THREAD
***************/

1000000	
Tiempo Suma	Tiempo Total
 3.052 	 3.346 
 3.096 	 3.359 
 8.385 	 9.077 
 4.763 	 4.792 
 10.049 	 10.690 
 4.957 	 5.388 
 2.893 	 3.138 
 5.159 	 5.536 
 9.884 	 10.521 
 7.449 	 7.906 
 6.822 	 7.205 
 3.762 	 4.086 
 4.679 	 4.960 
 4.780 	 5.125 
 2.855 	 3.108 
 2.881 	 3.125 
 2.842 	 3.083 
 2.989 	 3.298 
 2.876 	 3.145 
 10.047 	 10.692 
10.049	10.692
2.842	3.083
5.211	5.579

2000000	
Tiempo Suma	Tiempo Total
 15.984 	 16.688 
 6.655 	 6.950 
 6.674 	 7.028 
 5.362 	 5.616 
 5.465 	 5.778 
 5.432 	 5.724 
 5.173 	 5.419 
 5.254 	 5.494 
 5.437 	 5.740 
 8.796 	 9.060 
 17.250 	 17.880 
 5.531 	 5.845 
 5.225 	 5.460 
 5.365 	 5.614 
 5.224 	 5.478 
 5.457 	 5.756 
 5.352 	 5.643 
 14.415 	 15.091 
 5.590 	 5.884 
 5.389 	 5.685 
17.250	17.880
5.173	5.419
7.252	7.592

5000000	
Tiempo Suma	Tiempo Total
32.014	32.651
15.203	15.541
12.76	13.081
12.781	13.134
12.497	12.812
12.764	13.192
12.748	13.052
12.78	13.153
12.541	12.86
12.746	13.109
30.282	30.947
30.457	31.117
24.096	24.659
12.805	13.178
12.752	13.112
12.786	13.137
 12.522 	12.836
18.247	18.642
12.531	12.848
12.76	13.118
32.014	32.651
12.497	12.812
16.404	16.809

10000000	
Tiempo Suma	Tiempo Total
25.042	25.492
25.897	26.351
 26.267 	 26.702 
24.749	25.131
26.045	26.531
25.086	25.538
25.777	26.222
25.065	25.513
26.064	26.568
25.088	25.524
 33.789 	34.19
25.497	25.943
25.095	25.56
25.14	25.612
25.088	25.544
25.115	25.555
25.988	26.482
25.105	25.561
